   ,CODE,NAME,NAME,SHORT_NAME
37,1220.9,Будівлі для конторських та адміністративних цілей інші.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
38,1272,"Будівлі для культової та релігійної діяльності.<br><i>Цей клас включає:</i><br><ul><li>церкви, каплиці, мечеті, синагоги та т. ін.</li></ul><br><i>Цей клас включає також:</i><br><ul><li>цвинтарі та похоронні споруди, ритуальні зали, крематорії.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>світські релігійні будівлі (12.62);</li><li>культові та релігійні будівлі, що не використовуються за призначенням, а є пам'ятками історії та архітектури (12.73).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
39,1271.2,Будівлі для птахівництва.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
40,126,"Будівлі для публічних виступів, закладів освітнього, медичного та оздоровчого призначення.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
41,1261.9,Будівлі для публічних виступів інші.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
42,1261,"Будівлі для публічних виступів.<br><i>Цей клас включає:</i><br><ul><li>кінотеатри, концертні будівлі, театри та т. ін.;</li><li>зали засідань та багатоцільові зали, що використовуються, головним чином, для публічних виступів;</li><li>казино, цирки, музичні зали та дискотеки, естради та т. ін.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>музеї, художні галереї (12.62);</li><li>спортивні зали (12.65);</li><li>парки для відпочинку та розваг (24.12).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
43,1271.5,"Будівлі для садівництва, виноградарства та виноробства.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
44,1271.1,Будівлі для тваринництва.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
45,1263.5,Будівлі дошкільних та позашкільних навчальних закладів.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
46,11,Будівлі житлові.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
47,1274.5,Будівлі з облаштування населених пунктів.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
48,1263.7,Будівлі закладів з фахової перепідготовки.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
49,1220.4,Будівлі закордонних представництв.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
50,1262.6,Будівлі зоологічних та ботанічних садів.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
51,1251.9,"Будівлі інших промислових виробництв, включаючи поліграфічне.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
52,1274,"Будівлі інші, не класифіковані раніше.<br><i>Цей клас включає:</i><br><ul><li>виправні заклади, в'язниці, слідчі ізолятори, армійські казарми, будівлі міліцейських иа пожежних служб.</li></ul><br><i>Цей клас включає також:</i><br><ul><li>будівлі, такі як автобусні зупинки, громадські туалети, пральні, лазні та т. ін.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>телефонні кіоски (12.41);</li><li>госпіталі виправних закладів, в'язниць, збройних сил (12.64);</li><li>військові інженерні споруди (24.20).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
53,1274.4,Будівлі лазень та пралень.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
54,1264,"Будівлі лікарень та оздоровчих закладів.<br><i>Цей клас включає:</i><br><ul><li>заклади з надання медичної допомоги хворим та травмованим пацієнтам;</li><li>санаторії, профілакторії, спеціалізовані лікарні, психіатричні диспансери, пологові будинки, материнські та дитячі реабілітаційні центри.</li></ul><br><i>Цей клас включає також:</i><br><ul><li>лікарні навчальних закладів, шпиталі виправних закладів, в'язниць та збройних сил;</li><li>будівлі, що використовуються для термального та соляного лікування, функціональної реабілітації, пунктів переливання крові, пунктів донорського грудного молока та т. ін.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>будинки-інтернати для людей похилого віку та інвалідів (11.30).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
55,1263.8,"Будівлі метеорологічних станцій, обсерваторій.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
56,1274.2,Будівлі міліцейських та пожежних служб.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
